gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,10,0.2,1e-05,True,547.5392100677428,0.02429591566407753,0.03471672848427033,26.627080965042115,1926,1835,1926
Grad,5,10,0.2,5e-05,True,673.6245922374188,0.06792800334881138,0.08942623616400883,16.316264820098876,1118,1068,1118
Grad,5,10,0.2,0.0001,True,600.4811039136744,0.09777364940882474,0.11314769715804165,11.366666984558105,765,736,765
Grad,5,10,0.2,0.0005,True,584.8016633380197,0.1890798575239276,0.21450114136205944,4.361074638366699,322,313,322
Grad,5,10,0.2,0.001,True,517.1568736462332,0.2706986884241186,0.29995902937933616,3.495812273025513,255,245,255
Grad,5,10,0.4,1e-05,True,1009.8957050209874,0.012995582330737197,0.01657863135398771,25.958949279785156,1830,1747,1830
Grad,5,10,0.4,5e-05,True,1003.9765029492218,0.03998405194127925,0.048430006870118406,10.993848991394042,860,834,860
Grad,5,10,0.4,0.0001,True,739.1242275838937,0.05542762643580266,0.0724443623630651,9.435963869094849,736,710,736
Grad,5,10,0.4,0.0005,True,619.4760410003166,0.12879396356757797,0.1416209518900054,4.375947904586792,325,313,325
Grad,5,10,0.4,0.001,True,1006.2813136667463,0.17257572761134904,0.19015422014246483,4.8941575050354,323,313,323
Grad,5,10,0.6,1e-05,True,1662.379017464958,0.0074177726347557605,0.008380996456763212,23.33110156059265,1718,1638,1718
Grad,5,10,0.6,5e-05,True,1099.3770007052397,0.02659895375964999,0.032646650434261154,15.824689149856567,1077,1040,1077
Grad,5,10,0.6,0.0001,True,1540.4039695382692,0.040068331207930914,0.06812363006839248,10.12856216430664,768,741,768
Grad,5,10,0.6,0.0005,True,1193.0260200539428,0.10329975308304518,0.12850856939411492,5.997493696212769,437,426,437
Grad,5,10,0.6,0.001,True,865.5683672461813,0.13710656873964983,0.17142874348131182,5.130475616455078,388,379,388
Grad,5,10,0.8,1e-05,True,1391.9157640651138,0.00539290423045078,0.005993310090800576,25.524535942077637,1816,1731,1816
Grad,5,10,0.8,5e-05,True,997.2413316378879,0.020637009874411364,0.02447327135021409,15.818481063842773,1097,1055,1097
Grad,5,10,0.8,0.0001,True,1271.2161741746186,0.035703667914959436,0.05855199838929237,7.687883186340332,533,519,533
Grad,5,10,0.8,0.0005,True,1160.9870168682198,0.0828818886007541,0.11972440050231563,4.883819055557251,351,341,351
Grad,5,10,0.8,0.001,True,1109.7908064294963,0.12034118523112869,0.14628647000995734,5.622482061386108,379,371,379
Grad,5,10,1.0,1e-05,True,2475.666093173662,0.006305124218001956,0.023716335906588826,31.78840045928955,2172,2065,2172
Grad,5,10,1.0,5e-05,True,1349.5781892685343,0.017799008921745074,0.023920996133333254,12.157743549346923,773,751,773
Grad,5,10,1.0,0.0001,True,1556.3186751421106,0.028377246491854396,0.04705204849146365,7.318262529373169,520,503,520
Grad,5,10,1.0,0.0005,True,1353.047620980925,0.0693811184887914,0.08375506459530013,4.545807504653931,343,335,343
Grad,5,10,1.0,0.001,True,1564.613025383918,0.10483690002379178,0.12227095285638909,4.895813369750977,363,355,363
Grad,5,10,1.2,1e-05,True,2907.8952609344096,0.006129786256426609,0.005653425651755209,31.663765382766723,2164,2068,2164
Grad,5,10,1.2,5e-05,True,1358.5809463997591,0.01815904913463528,0.028436701453946417,13.7541184425354,868,834,868
Grad,5,10,1.2,0.0001,True,1299.0396236678619,0.024843483296055097,0.02987723687455863,14.36796522140503,961,926,961
Grad,5,10,1.2,0.0005,True,1852.5222110385719,0.061300241720933034,0.07658398750565594,4.9876875400543215,385,378,385
Grad,5,10,1.2,0.001,True,2022.655306972251,0.09671853103537062,0.10955779948321406,2.9681251525878904,223,220,223
Grad,5,10,1.5,1e-05,True,3638.482847595285,0.008967762698163993,0.011169649581501061,31.225495529174804,2263,2151,2263
Grad,5,10,1.5,5e-05,True,1712.873084571285,0.01412030625060462,0.026017560026439995,9.276688146591187,732,707,732
Grad,5,10,1.5,0.0001,True,2084.268378653426,0.024526334481336648,0.031317674105867485,4.899075984954834,378,366,378
Grad,5,10,1.5,0.0005,True,2212.4002072110757,0.05340610598457927,0.07592633109316224,6.388504219055176,497,481,497
Grad,5,10,1.5,0.001,True,1894.0784067746363,0.0779969689167146,0.08931591996707788,3.1916520595550537,248,244,248
Grad,5,10,1.8,1e-05,True,3204.1178838196097,0.010375500346374068,0.021369341495504547,23.854005146026612,1891,1803,1891
Grad,5,10,1.8,5e-05,True,2348.84930010347,0.021814037177538728,0.03477428611207314,11.512945747375488,883,848,883
Grad,5,10,1.8,0.0001,True,2181.4970405340296,0.01594852403866646,0.023009640391097284,13.95900330543518,937,899,937
Grad,5,10,1.8,0.0005,True,1420.157951270503,0.057316712933432525,0.07658035415528111,6.128727102279663,433,424,433
Grad,5,10,1.8,0.001,True,3418.0680874824916,0.06988622829409238,0.08943972068983926,4.373777103424072,290,283,290
Grad,5,20,0.2,1e-05,True,758.1632242299404,0.020476269425042593,0.024536096075913914,50.56449704170227,2452,2331,2452
Grad,5,20,0.2,5e-05,True,806.6852559934891,0.06206387725801908,0.07827741076826464,24.230553483963014,1167,1120,1167
Grad,5,20,0.2,0.0001,True,1181.9074696299203,0.0975230243764659,0.11557636721736966,19.457812309265137,1048,1009,1048
Grad,5,20,0.2,0.0005,True,1040.024595837395,0.19140241010025255,0.20257964092861608,5.390750598907471,281,272,281
Grad,5,20,0.2,0.001,True,927.1737212849785,0.27180979077244993,0.2866575641473097,4.4752153873443605,234,227,234
Grad,5,20,0.4,1e-05,True,2350.959604774077,0.009566273603912592,0.01122832316350662,59.319161128997806,3059,2938,3059
Grad,5,20,0.4,5e-05,True,2003.562915945359,0.03381990330628008,0.04361255162625932,23.725758123397828,1203,1165,1203
Grad,5,20,0.4,0.0001,True,2394.350928695524,0.053764201868605435,0.07043826383243601,18.97357530593872,959,926,959
Grad,5,20,0.4,0.0005,True,2055.197918082412,0.12772170055785598,0.15460774037901828,8.504225063323975,458,441,458
Grad,5,20,0.4,0.001,True,1955.5879910023173,0.1732086495236235,0.19222027480213452,7.0707470893859865,365,358,365
Grad,5,20,0.6,1e-05,True,3016.940877241948,0.005869189538097161,0.006629323471582392,56.85514726638794,2768,2643,2768
Grad,5,20,0.6,5e-05,True,3202.930107729187,0.022356972439978175,0.030541615576738002,31.463584232330323,1556,1509,1556
Grad,5,20,0.6,0.0001,True,3407.7730723916716,0.037283682763633676,0.04749605158819502,27.21159224510193,1282,1245,1282
Grad,5,20,0.6,0.0005,True,3245.8727061507075,0.09883183271416937,0.1251357883188452,15.908597707748413,721,701,721
Grad,5,20,0.6,0.001,True,2074.537047063374,0.13866912186773273,0.15384278844522337,10.91156816482544,525,509,525
Grad,5,20,0.8,1e-05,True,3777.723856268898,0.0040661093358698025,0.004733296651022621,52.38116374015808,2689,2570,2689
Grad,5,20,0.8,5e-05,True,2803.319434476525,0.01646278124960626,0.028064252047286548,24.04707841873169,1266,1232,1266
Grad,5,20,0.8,0.0001,True,6354.676374078229,0.02865311814606316,0.034287528941601295,21.707592964172363,1151,1119,1151
Grad,5,20,0.8,0.0005,True,3906.73163052406,0.0817753726905058,0.095433354427054,10.872610759735107,558,549,558
Grad,5,20,0.8,0.001,True,3471.6146236247773,0.12003826208361831,0.14029991242359163,11.379426050186158,545,530,545
Grad,5,20,1.0,1e-05,True,4683.004018369255,0.0030972518616780706,0.0036861515907832647,55.365987825393674,2783,2658,2783
Grad,5,20,1.0,5e-05,True,5836.035294292491,0.01285729620525553,0.01505913010042495,29.12641453742981,1462,1417,1462
Grad,5,20,1.0,0.0001,True,4719.804316318251,0.022774928242116074,0.02885169638618524,25.891132068634032,1217,1189,1217
Grad,5,20,1.0,0.0005,True,4037.52254546091,0.06644065211369028,0.07720930267211595,12.631746673583985,606,591,606
Grad,5,20,1.0,0.001,True,4173.4875396101215,0.09746683945511062,0.12530628719563844,10.045138263702393,461,455,461
Grad,5,20,1.2,1e-05,True,6023.766323537691,0.0024864211408401585,0.002940156423870524,34.3736750125885,1736,1673,1736
Grad,5,20,1.2,5e-05,True,4136.66569819251,0.010401983657266592,0.013252487189716198,35.27605757713318,1828,1769,1828
Grad,5,20,1.2,0.0001,True,5967.035581848712,0.018922699912973573,0.02328609612774269,25.307840299606323,1282,1244,1282
Grad,5,20,1.2,0.0005,True,8534.574606649534,0.05962210249737374,0.07764639200788478,14.462150478363037,679,666,679
Grad,5,20,1.2,0.001,True,6009.156913736445,0.08629937968453275,0.09619362861132007,10.13395915031433,465,458,465
Grad,5,20,1.5,1e-05,True,6574.462119775552,0.0019102027865076261,0.0022331368513767063,52.62418346405029,2578,2483,2578
Grad,5,20,1.5,5e-05,True,6437.793900558552,0.008156468082554144,0.00947297689685305,32.70926237106323,1888,1829,1888
Grad,5,20,1.5,0.0001,True,5307.899943451835,0.014855243054707229,0.017121314133197334,19.438427925109863,1351,1309,1351
Grad,5,20,1.5,0.0005,True,7427.610306862321,0.05129836986284,0.06625547392740998,11.105208015441894,786,772,786
Grad,5,20,1.5,0.001,True,8607.3840038454,0.07455185120107502,0.08648179433793288,7.954798889160156,533,525,533
Grad,5,20,1.8,1e-05,True,6304.352115410342,0.0015429126143136705,0.0017500975173414628,44.881487703323366,2855,2757,2855
Grad,5,20,1.8,5e-05,True,7202.853438147086,0.006673460307039207,0.007599278050008766,36.17433075904846,2539,2456,2539
Grad,5,20,1.8,0.0001,True,5414.635141493269,0.01223948919664836,0.01513834823851529,19.16951642036438,1226,1201,1226
Grad,5,20,1.8,0.0005,True,8781.972274685244,0.04548412649465141,0.05725376881319484,10.779301404953003,725,712,725
Grad,5,20,1.8,0.001,True,6924.024106730343,0.06691353711316864,0.07880854243053988,8.556329727172852,581,573,581
Grad,5,15,0.2,1e-05,True,752.245454332507,0.021172185955047745,0.03074156758573605,58.00821990966797,3364,3211,3364
Grad,5,15,0.2,5e-05,True,1258.2922746168072,0.06276539346959928,0.07486098089853052,22.978857135772706,1373,1314,1373
Grad,5,15,0.2,0.0001,True,864.6293913330746,0.09945994944300066,0.12124027894207741,11.905028581619263,777,744,777
Grad,5,15,0.2,0.0005,True,640.2667064380155,0.19001614728985855,0.2053426727150013,5.363278865814209,342,331,342
Grad,5,15,0.2,0.001,True,615.1150710850878,0.2717759177196049,0.2867510537207008,4.812181282043457,304,293,304
Grad,5,15,0.4,1e-05,True,1528.011226567249,0.009718279874727,0.011897779278940484,34.884308385848996,2174,2090,2174
Grad,5,15,0.4,5e-05,True,1593.2994810095172,0.034053043670479025,0.04999398238360332,26.71581587791443,1545,1487,1545
Grad,5,15,0.4,0.0001,True,1087.5166818636171,0.05361716587789962,0.0670164182168863,11.612656450271606,682,665,682
Grad,5,15,0.4,0.0005,True,2206.118426977304,0.1284266357975874,0.14319185284855088,7.597196483612061,457,441,457
Grad,5,15,0.4,0.001,True,1210.8566994280875,0.17270551377873775,0.18601152848040206,5.151722049713134,320,314,320
Grad,5,15,0.6,1e-05,True,2173.3793946393566,0.006310440185017527,0.007280519873517489,62.23359022140503,3723,3546,3723
Grad,5,15,0.6,5e-05,True,1481.2101198285911,0.024090736832579764,0.029815650078583677,29.826927757263185,1639,1574,1639
Grad,5,15,0.6,0.0001,True,1800.7167127181133,0.03997124354666322,0.05596559123800802,15.24575071334839,924,898,924
