gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,25,0.2,1e-05,True,362.8645604041021,0.24741028150303562,0.9257428810569179,5.3963480472564695,996,905,996
Grad,5,25,0.2,5e-05,True,347.8873530448537,0.17049227551220145,0.7620844747579703,2.03301420211792,592,553,592
Grad,5,25,0.2,0.0001,True,369.29473248954406,0.1854440052442733,0.5989192489432587,1.958514404296875,545,505,545
Grad,5,25,0.2,0.0005,True,346.9026027877101,0.313642950806497,0.6969996081748081,1.6907677173614502,473,438,473
Grad,5,25,0.2,0.001,True,395.5098689971279,0.45154748529593325,0.7634316122356984,52.19111967086792,425,391,425
Grad,5,25,0.4,1e-05,True,333.8414158403537,0.005882981213543931,0.036825960908134885,3.0183904647827147,906,883,906
Grad,5,25,0.4,5e-05,True,434.15524919417936,0.013882508865535487,0.043784115221626084,2.0791351318359377,580,570,580
Grad,5,25,0.4,0.0001,True,352.0301466765595,0.024604899949432733,0.08823812425512453,1.6810048580169679,507,497,507
Grad,5,25,0.4,0.0005,True,443.6164464803486,0.07966207112948143,0.18977785845524475,1.3238024234771728,419,411,419
Grad,5,25,0.4,0.001,True,454.2466660439977,0.13714819308696016,0.19979541632530767,1.0601323604583741,384,379,384
Grad,5,25,0.6,1e-05,True,407.4913632758964,0.008372517756303724,0.01903456448136473,3.083424997329712,1151,1125,1151
Grad,5,25,0.6,5e-05,True,337.4351416886803,0.017816628330698477,0.03150540137379234,1.2528895378112792,496,492,496
Grad,5,25,0.6,0.0001,True,685.23795957732,0.02712299945833052,0.04541249757865845,1.5148253440856934,567,561,567
Grad,5,25,0.6,0.0005,True,555.6243158935064,0.07160620309213,0.10791820684767131,0.7819797039031983,271,269,271
Grad,5,25,0.6,0.001,True,384.1309944071325,0.11674106640206003,0.15596936572089443,0.6006880760192871,226,225,226
Grad,5,25,0.8,1e-05,True,314.8803121013699,0.00945675430935403,0.021261469885043856,2.59794921875,1017,1004,1017
Grad,5,25,0.8,5e-05,True,329.90703224203025,0.02274611334902591,0.03977270847362771,1.7487919330596924,692,685,692
Grad,5,25,0.8,0.0001,True,336.56374926404305,0.034663664836044786,0.054078553740993705,1.3118337154388429,507,502,507
Grad,5,25,0.8,0.0005,True,264.25516123672764,0.0856876362610201,0.11267457592993879,0.6884697437286377,245,242,245
Grad,5,25,0.8,0.001,True,344.29825475324674,0.12493161263938461,0.16008121934868874,0.7276721000671387,276,275,276
Grad,5,25,1.0,1e-05,True,497.47007110487885,0.013583609237564905,0.023376947019702297,2.461395740509033,1030,1014,1030
Grad,5,25,1.0,5e-05,True,506.7990576568506,0.03421477409036107,0.05169720646115028,1.7385074615478515,842,831,842
Grad,5,25,1.0,0.0001,True,732.8081451841676,0.05632756360321191,0.08173782290039151,0.8774142742156983,437,433,437
Grad,5,25,1.0,0.0005,True,584.0695611334818,0.10667793160788201,0.13186345003984917,0.5067308902740478,240,238,240
Grad,5,25,1.0,0.001,True,711.54034068366,0.135625263071621,0.1700733297943265,0.5666484355926513,268,266,268
Grad,5,25,1.2,1e-05,True,625.4477490782613,0.024680199635334476,0.04059066101553746,4.033812046051025,1919,1869,1919
Grad,5,25,1.2,5e-05,True,603.4178133171403,0.05183989458373883,0.0774072985228255,1.2516377449035645,615,608,615
Grad,5,25,1.2,0.0001,True,532.1941135727058,0.07443951706970993,0.10725078050007922,0.8165154933929444,394,391,394
Grad,5,25,1.2,0.0005,True,1356.8885051585753,0.12493947773740914,0.14932985827702538,0.6937856674194336,327,324,327
Grad,5,25,1.2,0.001,True,588.7038760567931,0.1485898891008749,0.16350946287720253,0.5392113208770752,252,250,252
Grad,5,25,1.5,1e-05,True,712.0297536884692,0.05132481091623951,0.08026590236380615,2.619769811630249,1259,1228,1259
Grad,5,25,1.5,5e-05,True,375.49915325655684,0.09232831416551775,0.12777010923730325,1.0789877891540527,514,505,514
Grad,5,25,1.5,0.0001,True,243.93075268567452,0.10519900617029183,0.13884799410054674,0.778707218170166,379,374,379
Grad,5,25,1.5,0.0005,True,302.9241293853887,0.14088284301361714,0.16241169470647443,0.5915379047393798,292,288,292
Grad,5,25,1.5,0.001,True,378.3881730129961,0.1682463896905671,0.19479318144173952,0.6066502094268799,284,281,284
Grad,5,25,1.8,1e-05,True,5094.287430585663,0.09128079622180651,0.11766120757654999,3.2064443588256837,1512,1470,1512
Grad,5,25,1.8,5e-05,True,6354.4699200586765,0.11841365645852239,0.13857396735470542,35.41334939002991,576,561,576
Grad,5,25,1.8,0.0001,True,1309.602513713014,0.12416338924635828,0.15912499754812592,1.0596508979797363,475,464,475
Grad,5,25,1.8,0.0005,True,914.3174211547737,0.16021485455480647,0.1922439876242913,1.28713059425354,394,386,394
Grad,5,25,1.8,0.001,True,2858.6651403746396,0.1866869444264533,0.20772039219999047,0.6660578727722168,301,296,301
Grad,5,5,0.2,1e-05,True,361.09454956156804,1.0738448657757762,1.2875332223546117,0.28941168785095217,278,202,278
Grad,5,5,0.2,5e-05,True,347.2515225599815,1.0099779522656245,1.1432761555274298,0.12582411766052246,115,98,115
Grad,5,5,0.2,0.0001,True,350.3059118949974,0.98958933055826,1.157058330707218,0.17568044662475585,164,126,164
Grad,5,5,0.2,0.0005,True,348.9797993288728,1.0506197438574225,1.1734933612122131,0.1209068775177002,147,118,147
Grad,5,5,0.2,0.001,True,373.87926267322564,1.0720856767858051,1.2361985917374505,0.12404847145080566,113,97,113
Grad,5,5,0.4,1e-05,True,374.9200144198336,0.302885875425719,0.4012857848653809,0.16568317413330078,149,122,149
Grad,5,5,0.4,5e-05,True,345.09189827436006,0.3779997014069059,0.5329178226484392,0.19391345977783203,177,136,177
Grad,5,5,0.4,0.0001,True,366.756347494063,0.6283099106971564,0.791896566490511,0.17563967704772948,157,131,157
Grad,5,5,0.4,0.0005,True,324.80922327801727,0.4253171625510054,0.5127383359361487,0.11269302368164062,101,91,101
Grad,5,5,0.4,0.001,True,342.8552514034841,0.7881236000806469,0.8333608965017228,0.1117311954498291,98,84,98
Grad,5,5,0.6,1e-05,True,357.59262591987425,0.26876476815959954,0.31072775248392526,0.15599122047424316,132,120,132
Grad,5,5,0.6,5e-05,True,501.196650937444,0.17349857765817553,0.2507957163385391,0.10444478988647461,119,104,119
Grad,5,5,0.6,0.0001,True,329.05707069994884,0.12593782650672816,0.18653886233115186,0.11247172355651855,81,78,81
Grad,5,5,0.6,0.0005,True,406.9853608827423,0.41115516694181264,0.4451070234332934,0.18462615013122557,159,132,159
Grad,5,5,0.6,0.001,True,359.32637204958314,0.24356612979670608,0.32122656403419253,0.11191558837890625,108,97,108
Grad,5,5,0.8,1e-05,True,506.05803863816516,0.1091989087037805,0.15326225449869119,0.22717661857604982,200,180,200
