gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,15,0.2,1e-05,True,678.5541205591718,0.004514991247002633,0.008644994230659163,6.692375993728637,3105,2973,3105
Grad,5,15,0.2,5e-05,True,685.4105205899211,0.03157457350226856,0.04638003593194137,2.9836772441864015,1227,1176,1227
Grad,5,15,0.2,0.0001,True,739.9705942599586,0.061970814179097014,0.08500794425250384,1.6205912590026856,800,767,800
Grad,5,15,0.2,0.0005,True,889.0517319305798,0.09770341825089202,0.11455817952493566,0.6113259315490722,302,293,302
Grad,5,15,0.2,0.001,True,709.4446591169701,0.12296425640813684,0.13525251566851426,0.5065837860107422,249,242,249
Grad,5,15,0.4,1e-05,True,1718.2604326165745,0.0017474638662966127,0.0043420840678216,5.516484880447388,2190,2098,2190
Grad,5,15,0.4,5e-05,True,1554.5146004876556,0.010929344829986573,0.019498893199120997,2.8639894008636473,1133,1092,1133
Grad,5,15,0.4,0.0001,True,1526.6830521546092,0.029510077008859804,0.044190408145076764,2.087905025482178,841,815,841
Grad,5,15,0.4,0.0005,True,1219.028352457732,0.08006189840647807,0.09508943263196167,1.1921267986297608,405,394,405
Grad,5,15,0.4,0.001,True,1737.8744859754029,0.09068549003212074,0.1054278193274915,0.7587913513183594,303,299,303
Grad,5,15,0.6,1e-05,True,1997.390306990106,0.0007725779164848019,0.001726051088005384,7.10147123336792,2834,2709,2834
Grad,5,15,0.6,5e-05,True,2449.858954458257,0.004901235871126853,0.009206575230844912,3.1052361488342286,1313,1272,1313
Grad,5,15,0.6,0.0001,True,2209.8084038831807,0.013617451895312499,0.021633397864120336,2.3405198097229003,1076,1047,1076
Grad,5,15,0.6,0.0005,True,2077.432380058775,0.05381301106485624,0.07131606930658566,1.3483304977416992,529,517,529
Grad,5,15,0.6,0.001,True,3220.1504598973347,0.08142990677081391,0.09748321857683302,1.027977991104126,420,409,420
Grad,5,15,0.8,1e-05,True,2460.29347332453,0.0004472341280038261,0.0011127997410033592,3.972171354293823,1864,1787,1864
Grad,5,15,0.8,5e-05,True,3672.2900543926867,0.004523327766156427,0.008795720133204996,2.5913097858428955,1062,1032,1062
Grad,5,15,0.8,0.0001,True,2061.925766764564,0.00743341075756265,0.01403677245380831,1.5489277839660645,656,642,656
Grad,5,15,0.8,0.0005,True,2480.996612666542,0.03453070206082811,0.04914045686738779,1.4002635478973389,597,586,597
Grad,5,15,0.8,0.001,True,3194.602604345997,0.07184619472937226,0.08925549286390014,1.0639891624450684,491,481,491
Grad,5,15,1.0,1e-05,True,2968.4860400077814,0.0003148273056953803,0.0007494430236774349,3.7545613765716555,1732,1663,1732
Grad,5,15,1.0,5e-05,True,3373.7893727977307,0.0024715289385438778,0.0060335407204574875,2.9738550662994383,1199,1161,1199
Grad,5,15,1.0,0.0001,True,4208.678805021684,0.004850073562886569,0.010387080364035578,2.558087205886841,838,816,838
Grad,5,15,1.0,0.0005,True,3343.0605979398047,0.032314616731170524,0.05001614477633913,1.444093894958496,633,617,633
Grad,5,15,1.0,0.001,True,5388.896487735222,0.042125361123372,0.06038291592025361,1.2992578029632569,509,499,509
Grad,5,15,1.2,1e-05,True,4433.907833974496,0.000251964571301648,0.0006563678353252447,5.79739818572998,2208,2117,2208
Grad,5,15,1.2,5e-05,True,2453.4657804193575,0.001988414077748516,0.0037982803949594955,4.728560113906861,1881,1808,1881
Grad,5,15,1.2,0.0001,True,3499.4665514943554,0.0035919824874122317,0.007364961589990457,2.751795244216919,1159,1122,1159
Grad,5,15,1.2,0.0005,True,3662.3527385050293,0.029430549256356346,0.04434929697460867,1.311331844329834,549,540,549
Grad,5,15,1.2,0.001,True,3860.2850844538552,0.03750819851424889,0.058012974286944054,1.141247606277466,470,461,470
Grad,5,15,1.5,1e-05,True,3440.0029651709124,0.003179989940983207,0.0044131652905964125,7.433243751525879,2544,2432,2544
Grad,5,15,1.5,5e-05,True,4313.754979038876,0.0010814778273285186,0.002723407306046063,4.400462627410889,1853,1780,1853
Grad,5,15,1.5,0.0001,True,3277.504666971847,0.0024516420432806976,0.005602378214182434,2.925096845626831,1299,1265,1299
Grad,5,15,1.5,0.0005,True,4659.585417888707,0.0214923752199157,0.03523366366226213,1.2626997470855712,562,552,562
Grad,5,15,1.5,0.001,True,3866.8186031754253,0.03444032150220555,0.052292881246223166,1.0987762928009033,500,490,500
Grad,5,15,1.8,1e-05,True,3253.229420048218,0.001869569527006182,0.004471068325026984,4.754952335357666,2158,2069,2158
Grad,5,15,1.8,5e-05,True,5178.9980285726615,0.0008568716350189836,0.0022444057238496205,4.028292989730835,1737,1676,1737
Grad,5,15,1.8,0.0001,True,3419.6173275019446,0.003870594799484306,0.00846759746370674,2.9845963954925536,1359,1310,1359
