gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,30,0.2,1e-05,True,375.4928054093037,0.12900187936921353,0.670077987906463,3.629712438583374,1172,1069,1172
Grad,5,30,0.2,5e-05,True,366.33112375063666,0.1591986794999102,0.5060726663917807,2.1618967056274414,757,720,757
Grad,5,30,0.2,0.0001,True,342.3880400005445,0.173082544214457,0.5011748631479243,1.5838737964630127,566,547,566
Grad,5,30,0.2,0.0005,True,350.84416825910483,0.11713405892412916,0.3616158745274024,1.4891838073730468,454,432,454
Grad,5,30,0.2,0.001,True,358.2889224005047,0.5115890960295112,0.7225565726887551,2.2347309589385986,670,642,670
Grad,5,30,0.4,1e-05,True,573.2960583857331,0.002653932737239928,0.022506585802593338,3.2959880352020265,954,940,954
Grad,5,30,0.4,5e-05,True,304.7139706433478,0.003569050721288561,0.031035377547547538,3.2624401569366457,715,708,715
Grad,5,30,0.4,0.0001,True,353.66206944402643,0.010972083464852367,0.03905223373519971,2.097937059402466,683,676,683
Grad,5,30,0.4,0.0005,True,343.1132003948259,0.016422864333807886,0.06079864478168447,1.147162628173828,375,373,375
Grad,5,30,0.4,0.001,True,359.8268377121373,0.03062389955172587,0.078580450128882,1.2159825801849364,293,291,293
Grad,5,30,0.6,1e-05,True,339.6237511925778,0.0020719898377071985,0.011024696293656754,3.788913917541504,925,917,925
Grad,5,30,0.6,5e-05,True,331.099986189467,0.005726376211505719,0.018681089245201486,2.745960903167725,617,613,617
Grad,5,30,0.6,0.0001,True,823.211513156348,0.01072292160737623,0.028224388629539472,1.6421812057495118,558,553,558
Grad,5,30,0.6,0.0005,True,577.931607424792,0.021394289801513405,0.047096500991047216,0.9121944427490234,344,343,344
Grad,5,30,0.6,0.001,True,757.9161965900029,0.03595369797378725,0.06778589991634884,0.6224066734313964,255,254,255
Grad,5,30,0.8,1e-05,True,615.4809535043779,0.0039524616661009895,0.011448497983974128,3.8770092964172362,1505,1483,1505
Grad,5,30,0.8,5e-05,True,682.433322927421,0.008657261544504193,0.020999850995570727,2.534287929534912,686,679,686
Grad,5,30,0.8,0.0001,True,444.47278550806004,0.01391493038673997,0.03025885633543126,1.4925568580627442,487,484,487
Grad,5,30,0.8,0.0005,True,1460.2212609090059,0.038712500811474086,0.06394907506944245,0.6550457000732421,270,269,270
Grad,5,30,0.8,0.001,True,843.7840684359238,0.05537918156772674,0.0874559641395015,0.5170908451080323,216,215,216
Grad,5,30,1.0,1e-05,True,738.4728623778972,0.004396380880630531,0.012235837919855781,2.6370468139648438,940,929,940
Grad,5,30,1.0,5e-05,True,315.1100012043728,0.015631473119871776,0.03126023834911766,1.603714609146118,649,643,649
Grad,5,30,1.0,0.0001,True,529.029117160887,0.027139863794835815,0.043645174157190866,0.9874433517456055,401,398,401
Grad,5,30,1.0,0.0005,True,596.0688008899946,0.056972229678314855,0.08085239489446291,0.9856564044952393,291,289,291
Grad,5,30,1.0,0.001,True,277.47017776877806,0.07923416588742124,0.10606492585703206,0.6339197158813477,259,257,259
Grad,5,30,1.2,1e-05,True,406.4275735861012,0.00934360352558469,0.01906711836533819,3.9522860527038572,1539,1514,1539
Grad,5,30,1.2,5e-05,True,466.3726206976817,0.030053095977963344,0.0486514072703889,1.3698132038116455,561,556,561
Grad,5,30,1.2,0.0001,True,328.23518445522166,0.04122111388249457,0.061807477946846504,0.9685478210449219,388,384,388
Grad,5,30,1.2,0.0005,True,819.4068502758823,0.08532264127417458,0.10761826114073132,0.8218714237213135,343,340,343
Grad,5,30,1.2,0.001,True,823.4526262586888,0.1006706688200609,0.12483053189978233,0.6307708263397217,266,263,266
Grad,5,30,1.5,1e-05,True,648.5470285210661,0.02606504983995846,0.04166473642992574,3.153821086883545,1702,1667,1702
Grad,5,30,1.5,5e-05,True,2364.43943122875,0.07054186370899887,0.09270130608474964,1.1258671760559082,686,673,686
Grad,5,30,1.5,0.0001,True,539.6298533177379,0.09233877528365622,0.11339951561675336,0.7703365802764892,456,449,456
Grad,5,30,1.5,0.0005,True,2948.6308177218903,0.10860040995817588,0.13076130884130907,0.5246663570404053,311,309,311
Grad,5,30,1.5,0.001,True,362.796099860708,0.12140153856248852,0.1439142804552599,0.41068086624145506,247,245,247
Grad,5,30,1.8,1e-05,True,623.1858143086928,0.07354723733785315,0.09526355825634225,3.4631152629852293,2058,2007,2058
Grad,5,30,1.8,5e-05,True,388.4127098598922,0.10269725232372204,0.125622167022229,0.909596586227417,553,539,553
Grad,5,30,1.8,0.0001,True,857.5765151549155,0.10975233353428655,0.1313034872400452,0.8023941516876221,489,477,489
Grad,5,30,1.8,0.0005,True,529.5057419965783,0.12746244398488316,0.14785586028235198,0.5036541938781738,303,297,303
Grad,5,30,1.8,0.001,True,5306.01151181191,0.14170546635789483,0.16024398420176453,0.4397019863128662,262,261,262
Grad,5,10,0.2,1e-05,True,378.24829773279214,0.6687468078213931,1.0365241856290202,0.40653767585754397,310,253,310
Grad,5,10,0.2,5e-05,True,344.1660035669573,0.5881044361380756,0.937711814656328,0.34084067344665525,257,210,257
Grad,5,10,0.2,0.0001,True,371.5413044282595,0.7551721267231077,1.059841098857819,0.4577134609222412,358,291,358
Grad,5,10,0.2,0.0005,True,348.1415273913039,0.8862593163267254,0.995788958136326,0.2941718101501465,223,201,223
Grad,5,10,0.2,0.001,True,361.4205597703347,0.8862819411999618,0.9893910128871332,0.24183320999145508,184,169,184
Grad,5,10,0.4,1e-05,True,313.4041232405834,0.18938444440682284,0.30564971229693866,0.39118471145629885,331,289,331
Grad,5,10,0.4,5e-05,True,382.7756854191258,0.6568979399449515,0.6782039125407279,0.4378674983978271,343,323,343
Grad,5,10,0.4,0.0001,True,376.35867833451,0.16855517090121044,0.24524446977890105,0.35500321388244627,257,234,257
Grad,5,10,0.4,0.0005,True,333.65448038454156,0.17056613955109584,0.2660755575799292,0.2793732166290283,192,177,192
Grad,5,10,0.4,0.001,True,344.9864062644211,0.0965323899148346,0.14641241644386932,0.11219696998596192,109,105,109
Grad,5,10,0.6,1e-05,True,497.39637872296777,0.03237673670773253,0.06684476082195417,0.5897552013397217,409,375,409
Grad,5,10,0.6,5e-05,True,398.28161513301694,0.04412879049821847,0.07860979627396306,0.3458770751953125,253,244,253
Grad,5,10,0.6,0.0001,True,609.1556387995812,0.0330375270174867,0.06456767156046546,0.5061596393585205,263,253,263
Grad,5,10,0.6,0.0005,True,327.63124551101816,0.04446720927655563,0.07586546759444786,0.3380652904510498,194,186,194
Grad,5,10,0.6,0.001,True,330.6734819389482,0.06486555671111263,0.1141997754858481,0.24821720123291016,167,161,167
Grad,5,10,0.8,1e-05,True,455.8206443943302,0.0257885170248654,0.039875989094138135,0.6228441715240478,463,433,463
Grad,5,10,0.8,5e-05,True,277.27759210362376,0.0536716246044213,0.07194378875572793,0.3838519096374512,284,276,284
Grad,5,10,0.8,0.0001,True,564.2185288112128,0.03945304014297465,0.057377787864096697,0.2692021369934082,195,192,195
Grad,5,10,0.8,0.0005,True,308.647770580875,0.059898613232674036,0.08408526969983517,0.2921292781829834,213,210,213
Grad,5,10,0.8,0.001,True,508.8902272633501,0.06954394028150121,0.09848845734340643,0.2563167572021484,187,184,187
Grad,5,10,1.0,1e-05,True,674.9621139988293,0.03590967549737363,0.047572884733009115,0.6556765556335449,491,473,491
Grad,5,10,1.0,5e-05,True,237.7461402141221,0.0485072189445382,0.06296093355751782,0.42098345756530764,288,280,288
Grad,5,10,1.0,0.0001,True,325.80055688648173,0.06441678721155301,0.0824279766370325,0.31967506408691404,228,225,228
Grad,5,10,1.0,0.0005,True,240.5232635655416,0.07826408914650099,0.09861416643959552,0.3164252758026123,220,218,220
Grad,5,10,1.0,0.001,True,299.14101230696383,0.09371946646674631,0.11727956976723726,0.2509042263031006,182,177,182
Grad,5,10,1.2,1e-05,True,285.937794793892,0.0450481709155101,0.05571748923317772,0.9085506916046142,661,630,661
Grad,5,10,1.2,5e-05,True,774.2871727328011,0.07545301354991049,0.09164815334986032,0.44933333396911623,311,304,311
Grad,5,10,1.2,0.0001,True,720.6865055696705,0.09846167190330309,0.1261102813053387,0.49080643653869627,353,341,353
Grad,5,10,1.2,0.0005,True,438.1643327751939,0.10285330103005834,0.12253655851277445,0.28681483268737795,197,195,197
Grad,5,10,1.2,0.001,True,357.8768513573975,0.10955622505688838,0.13110478691537733,0.19981398582458496,148,147,148
Grad,5,10,1.5,1e-05,True,546.9376653540028,0.07912069642999456,0.10120720421734346,1.4030389308929443,999,954,999
Grad,5,10,1.5,5e-05,True,534.5466938881211,0.09258794701215615,0.11278052773609464,0.5361611366271972,385,375,385
Grad,5,10,1.5,0.0001,True,779.3026295416763,0.11026197080895654,0.13054336245879028,0.5157070636749268,321,314,321
Grad,5,10,1.5,0.0005,True,341.5338129276753,0.11638483832405358,0.13835076699229287,0.3660099983215332,239,235,239
Grad,5,10,1.5,0.001,True,664.8978853258197,0.1290158495981605,0.14811837364368902,0.3687870025634766,251,248,251
Grad,5,10,1.8,1e-05,True,853.062183445933,0.10580160010276904,0.1255508421000025,1.346782112121582,912,866,912
Grad,5,10,1.8,5e-05,True,209.2382865621699,0.11619841085573476,0.13453504335427408,0.4113213539123535,295,288,295
Grad,5,10,1.8,0.0001,True,604.0859610796452,0.11994717424257977,0.13603942798391563,0.5107584953308105,371,361,371
Grad,5,10,1.8,0.0005,True,403.8472692865378,0.1346734468928887,0.15630176580531135,0.30667762756347655,206,204,206
Grad,5,10,1.8,0.001,True,1335.1204070752885,0.14302484378092903,0.16215845657737613,0.3568567752838135,253,249,253
Grad,5,20,0.2,1e-05,True,399.03507791118403,0.28770213597995686,1.489309004718663,1.7232283115386964,800,697,800
Grad,5,20,0.2,5e-05,True,342.3788622560912,0.19495146127824178,0.6915794189676763,0.9896912574768066,453,419,453
Grad,5,20,0.2,0.0001,True,411.3835385164775,0.21118576338443998,0.5466739956063368,0.8950887203216553,402,375,402
Grad,5,20,0.2,0.0005,True,387.63153693893565,0.35923868462352687,0.6422329791672678,0.7124477386474609,328,306,328
Grad,5,20,0.2,0.001,True,379.8582614515428,0.3898851621026874,0.7069843561075462,0.8074812889099121,379,346,379
Grad,5,20,0.4,1e-05,True,387.2114759863042,0.007175747287377984,0.04494058487479105,2.049447774887085,812,785,812
Grad,5,20,0.4,5e-05,True,474.8800323906554,0.019098124277462457,0.04716819746198726,1.369304370880127,572,560,572
Grad,5,20,0.4,0.0001,True,396.3489658010846,0.012570403205642986,0.04463829492358742,1.0238755702972413,466,457,466
Grad,5,20,0.4,0.0005,True,435.3826896541864,0.023962943977334544,0.0718181892040148,0.8062870025634765,364,359,364
Grad,5,20,0.4,0.001,True,337.19346779097486,0.035557427739022124,0.08140784849172042,0.7299856185913086,229,227,229
Grad,5,20,0.6,1e-05,True,535.7510608588369,0.006002837444852178,0.015656873840447977,1.9194326877593995,774,751,774
Grad,5,20,0.6,5e-05,True,420.9866399100905,0.008992508183263703,0.02347701853787196,0.9571618556976318,434,428,434
Grad,5,20,0.6,0.0001,True,390.97996861217433,0.01361040245523173,0.030227756548205066,1.1801885128021241,495,490,495
Grad,5,20,0.6,0.0005,True,358.1742237407982,0.02863914421655909,0.05509395603720395,0.6527172088623047,282,281,282
Grad,5,20,0.6,0.001,True,1412.178349675306,0.04501570713990814,0.08487490138807112,0.5168515682220459,236,232,236
Grad,5,20,0.8,1e-05,True,241.3965331795603,0.0056468258835483225,0.016064705864883566,2.479049015045166,936,919,936
Grad,5,20,0.8,5e-05,True,589.2024541624438,0.012064961092680765,0.028171658347700163,1.163156270980835,418,416,418
Grad,5,20,0.8,0.0001,True,626.7047085265725,0.01768541887416899,0.033736498551425013,1.6186723232269287,472,466,472
Grad,5,20,0.8,0.0005,True,364.65555866471414,0.04469356719616799,0.07243017034366761,0.6748310089111328,265,264,265
