gradient,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
None,5,0.2,1e-05,True,2.66876402398156,0.07913530169728746,0.0880782605647348,1.5925812721252441,14366,620,653
Grad,5,0.2,1e-05,True,2.66876402398156,0.07913530160695935,0.08808035107654354,0.43167710304260254,636,598,636
None,5,0.2,5e-05,True,1.0129606627746326,0.07777734070678327,0.08837421294519665,0.7194099426269531,6754,298,307
Grad,5,0.2,5e-05,True,1.0129606627746326,0.07777734072096584,0.08837350050023457,0.21121811866760254,310,298,310
None,5,0.2,0.0001,True,1.9611963078630517,0.11822680473772566,0.10547581290049486,0.6326847076416016,5742,251,261
Grad,5,0.2,0.0001,True,1.9611963078630517,0.11822716750110987,0.10548808630137932,0.40730786323547363,264,252,264
None,5,0.2,0.0005,True,1.3918755337471853,0.20300038545861537,0.18852307658371387,1.0235929489135742,4620,201,210
Grad,5,0.2,0.0005,True,1.3918755337471853,0.20300039885011806,0.1885244496393616,0.37506103515625,210,201,210
None,5,0.2,0.001,True,1.2877477482445376,0.28013290140019165,0.26455625636378893,0.5011420249938965,4444,190,202
Grad,5,0.2,0.001,True,1.2877477482445376,0.2801329156665624,0.2645539679516574,0.13970041275024414,205,194,205
None,5,0.4,1e-05,True,1.4644748919708588,0.06276892668140924,0.08084620237694193,1.5017850399017334,9196,394,418
Grad,5,0.4,1e-05,True,1.4644748919708588,0.06276892663112693,0.08084636623774041,0.29790377616882324,433,414,433
None,5,0.4,5e-05,True,2.1828500363396057,0.055987805295210684,0.05772544183995272,0.6268751621246338,5808,252,264
Grad,5,0.4,5e-05,True,2.1828500363396057,0.055987757208124544,0.05773458314420383,0.2978959083557129,279,265,279
None,5,0.4,0.0001,True,0.740184915303581,0.10014112451920462,0.09818203960049805,1.063946008682251,6732,290,306
Grad,5,0.4,0.0001,True,0.740184915303581,0.1001411244895509,0.0981824125642292,0.2804911136627197,309,296,309
None,5,0.4,0.0005,True,1.2676881411854946,0.1432881549735257,0.12853812251446262,0.5002970695495605,3300,146,150
Grad,5,0.4,0.0005,True,1.2676881411854946,0.14328815530689706,0.12853764423441677,0.12895917892456055,151,146,151
None,5,0.4,0.001,True,1.2902984899376084,0.1815280230948218,0.16943241235140644,0.48537492752075195,3102,134,141
Grad,5,0.4,0.001,True,1.2902984899376084,0.18152802832818504,0.16943208077923538,0.13077020645141602,140,133,140
None,5,0.6,1e-05,True,1.586988285162081,0.05678519056391919,0.048103493261240526,0.8922739028930664,5808,252,264
Grad,5,0.6,1e-05,True,1.586988285162081,0.05678519057085649,0.048103890997231044,0.2508997917175293,266,255,266
None,5,0.6,5e-05,True,4.5738558964334155,0.059948403292374004,0.049217638452284516,0.6657600402832031,4136,184,188
Grad,5,0.6,5e-05,True,4.5738558964334155,0.05994840326610486,0.04921823327814439,0.15038800239562988,192,187,192
None,5,0.6,0.0001,True,1.617938064119807,0.07478180348507106,0.07808613185833671,0.7198328971862793,4796,209,218
Grad,5,0.6,0.0001,True,1.617938064119807,0.07478180371664654,0.07808640854474543,0.1490941047668457,212,205,212
